year,university,admissions
2006,Anglia Ruskin University,2225
2006,Aston University,2240
2006,University of Bath,2750
2006,Bath Spa University,1635
2006,University of Birmingham,5265
2006,University College Birmingham,1020
2006,Bishop Grosseteste University,395
2006,University of Bolton,680
2006,Bournemouth University,3535
2006,University of Bradford,2635
2006,University of Brighton,4350
2006,University of Bristol,3660
2006,University of the West of England,5690
2006,Brunel University,3405
2006,University of Buckingham,40
2006,Buckinghamshire New University,1230
2006,University of Cambridge,3330
2006,Canterbury Christ Church University,1980
2006,Birmingham City University,3030
2006,University of Central Lancashire,4820
2006,University of Chester,2495
2006,University of Chichester,995
2006,"City, University of London",2255
2006,City and Islington College,35
2006,"Courtauld Institute of Art, University of London",60
2006,Coventry University,3895
2006,De Montfort University,4315
2006,University of Derby,2165
2006,University of Durham,3535
2006,University of East Anglia,2695
2006,University of East London,3690
2006,Edge Hill University,1855
2006,University of Essex,2000
2006,University of Exeter,3275
2006,Falmouth University,755
2006,University of Gloucestershire,1965
2006,"Goldsmiths, University of London",1535
2006,University of Greenwich,2960
2006,Harper Adams University,420
2006,University of Hertfordshire,4395
2006,Heythrop College,140
2006,University of Huddersfield,3730
2006,University of Hull,3885
2006,Imperial College London,2270
2006,University of Keele,1785
2006,University of Kent,4070
2006,"King's College London, University of London",3250
2006,Kingston University,6145
2006,Lancaster University,2765
2006,Leeds City College,135
2006,University of Leeds,6745
2006,Leeds Trinity University,750
2006,Leeds Beckett University,6270
2006,Leeds Arts University,410
2006,Leeds College of Music,70
2006,University of Leicester,2475
2006,University of Lincoln,3415
2006,University of Liverpool,4215
2006,Liverpool Hope University,1785
2006,Liverpool Institute for Performing Arts,195
2006,Liverpool John Moores University,5500
2006,London Metropolitan University,3745
2006,London School of Economics and Political Science,1300
2006,London South Bank University,3180
2006,Loughborough University,3450
2006,University of Manchester,7210
2006,Middlesex University,2880
2006,Newman University,605
2006,University of Northampton,1910
2006,Norwich University of the Arts,395
2006,Northumbria University,4660
2006,University of Nottingham,5915
2006,University of Oxford,3255
2006,Oxford Brookes University,3280
2006,University of Plymouth,4160
2006,Plymouth College of Art,175
2006,University of Portsmouth,4295
2006,Ravensbourne,445
2006,University of Reading,3305
2006,Royal Agricultural University,190
2006,"Royal Holloway, University of London",2155
2006,University of Salford,4050
2006,University of Sheffield,4595
2006,Sheffield Hallam University,5880
2006,University of Southampton,4320
2006,Southampton Solent University,3220
2006,"St George's, University of London",550
2006,St Mary's University,930
2006,University of Sunderland,2215
2006,University of Surrey,2155
2006,University of Sussex,2470
2006,Teesside University,2260
2006,University of West London,1835
2006,University of the Arts London,3640
2006,University College London,3305
2006,University of Warwick,3415
2006,University of Westminster,4740
2006,University of Wolverhampton,3775
2006,University of Winchester,1315
2006,University of Worcester,1240
2006,Writtle University College,280
2006,University of York,2630
2006,York St John University,1295
2007,Anglia Ruskin University,2540
2007,Aston University,2240
2007,University of Bath,2740
2007,Bath Spa University,1770
2007,University of Bedfordshire,2180
2007,Bedford College Group,55
2007,University of Birmingham,5335
2007,University College Birmingham,1010
2007,Bishop Grosseteste University,430
2007,University of Bolton,735
2007,Bournemouth University,3655
2007,University of Bradford,2790
2007,University of Brighton,4685
2007,University of Bristol,3845
2007,University of the West of England,6360
2007,Brunel University,3670
2007,University of Buckingham,55
2007,Buckinghamshire New University,1040
2007,University of Cambridge,3380
2007,Canterbury Christ Church University,2255
2007,Birmingham City University,3540
2007,University of Central Lancashire,4790
2007,University of Chester,2560
2007,University of Chichester,1135
2007,"City, University of London",2315
2007,"Courtauld Institute of Art, University of London",55
2007,Coventry University,4560
2007,De Montfort University,4200
2007,University of Derby,2485
2007,University of Durham,3650
2007,University of East Anglia,3015
2007,University of East London,4215
2007,Edge Hill University,2520
2007,University of Essex,2290
2007,University of Exeter,3570
2007,Falmouth University,840
2007,University of Gloucestershire,2180
2007,"Goldsmiths, University of London",1740
2007,University of Greenwich,3050
2007,Harper Adams University,520
2007,University of Hertfordshire,4065
2007,Heythrop College,165
2007,University of Huddersfield,4060
2007,University of Hull,4195
2007,Imperial College London,2375
2007,University of Keele,1665
2007,University of Kent,4230
2007,"King's College London, University of London",3280
2007,Kingston University,6180
2007,Lancaster University,2695
2007,Leeds City College,125
2007,University of Leeds,7055
2007,Leeds Trinity University,715
2007,Leeds Beckett University,6830
2007,Leeds Arts University,445
2007,Leeds College of Music,165
2007,University of Leicester,3070
2007,University of Lincoln,3350
2007,University of Liverpool,4345
2007,Liverpool Hope University,1685
2007,Liverpool Institute for Performing Arts,200
2007,Liverpool John Moores University,6185
2007,London Metropolitan University,4020
2007,London School of Economics and Political Science,1415
2007,London South Bank University,2795
2007,Loughborough University,3835
2007,University of Manchester,8500
2007,Middlesex University,3165
2007,Newman University,650
2007,University of Northampton,2200
2007,Norwich University of the Arts,480
2007,Northumbria University,5020
2007,University of Nottingham,5915
2007,University of Oxford,3260
2007,Oxford Brookes University,3565
2007,University of Plymouth,4255
2007,Plymouth College of Art,145
2007,University of Portsmouth,4825
2007,Ravensbourne,405
2007,University of Reading,2965
2007,Royal Agricultural University,240
2007,"Royal Holloway, University of London",2370
2007,University of Salford,4185
2007,University of Sheffield,5005
2007,Sheffield Hallam University,6525
2007,University of Southampton,4515
2007,Southampton Solent University,3710
2007,"St George's, University of London",605
2007,St Mary's University,930
2007,University of Sunderland,2145
2007,University of Surrey,2480
2007,University of Sussex,2615
2007,Teesside University,2295
2007,University of West London,1790
2007,University of the Arts London,4050
2007,University College London,3570
2007,University of Warwick,3715
2007,University of Westminster,4845
2007,University of Wolverhampton,4150
2007,University of Winchester,1470
2007,University of Worcester,1570
2007,Writtle University College,245
2007,University of York,2745
2007,York St John University,1335
2008,Anglia Ruskin University,2610
2008,Aston University,2135
2008,University of Bath,2835
2008,Bath Spa University,1930
2008,University of Bedfordshire,2765
2008,Bedford College Group,40
2008,University of Birmingham,5795
2008,University College Birmingham,1160
2008,Bishop Grosseteste University,430
2008,University of Bolton,740
2008,Bournemouth University,4120
2008,University of Bradford,3115
2008,University of Brighton,5345
2008,University of Bristol,3735
2008,University of the West of England,6885
2008,Brunel University,3540
2008,University of Buckingham,50
2008,Buckinghamshire New University,1685
2008,University of Cambridge,3525
2008,Canterbury Christ Church University,2770
2008,Birmingham City University,5010
2008,University of Central Lancashire,5660
2008,University of Chester,2705
2008,University of Chichester,1255
2008,"City, University of London",2705
2008,"Courtauld Institute of Art, University of London",55
2008,Coventry University,5080
2008,University of Cumbria,1900
2008,De Montfort University,4680
2008,University of Derby,2790
2008,University of Durham,3645
2008,University of East Anglia,3370
2008,University of East London,4720
2008,Edge Hill University,2940
2008,University of Essex,2680
2008,University of Exeter,3925
2008,Falmouth University,915
2008,University of Gloucestershire,2370
2008,"Goldsmiths, University of London",2005
2008,University of Greenwich,3735
2008,Harper Adams University,555
2008,University of Hertfordshire,5510
2008,Heythrop College,170
2008,University of Huddersfield,4190
2008,University of Hull,4795
2008,Imperial College London,2405
2008,University of Keele,2085
