establishmentname,street,town,postcode,longitude,latitude
Leeds College of Music,3 Quarry Hill,Leeds,LS2 7PD,-1.53200801779232,53.7978670401574
Leeds Arts University,Blenheim Walk,Leeds,LS2 9AQ,-1.55134665941896,53.8086337094152
Plymouth College of Art,Tavistock Place,Plymouth,PL4 8AT,-4.13720535283975,50.3730958401795
Falmouth University,Woodlane,Falmouth,TR11 4RH,-5.07107908925483,50.1496248775257
University of Hertfordshire,Hatfield Campus,Hatfield,AL10 9AB,-0.242202191963648,51.7528769061461
University of Birmingham,Chancellors Court,Birmingham,B15 2TT,-1.93145578144822,52.4527642439573
University College Birmingham,Summer Row,Birmingham,B3 1JB,-1.90604412399285,52.4816834458004
"Newman University, Birmingham",Genners Lane,Birmingham,B32 3NT,-1.99403433361143,52.4336796724054
Aston University,Aston Triangle,Birmingham,B4 7ET,-1.89095204965418,52.4866367287844
Birmingham City University,Franchise Street,Birmingham,B42 2SU,-1.89728681108069,52.5172710677
University of Bath,Claverton Down,Bath,BA2 7AY,-2.32883207043375,51.3798516377811
Bath Spa University,Newton Park,Bath,BA2 9BN,-2.43901703597708,51.3752456990424
University of Bradford,Richmond Road,Bradford,BD7 1DP,-1.76516978822524,53.7912026014833
Bournemouth University,Poole House,Poole,BH12 5BB,-1.897168128787,50.7429790967958
Arts University Bournemouth,Wallisdown Road,Poole,BH12 5HH,-1.8981070038976,50.741370236254
University of Bolton,Deane Road,Bolton,BL3 5AB,-2.43623824061768,53.5735108797686
University of Sussex,Sussex House,Brighton,BN1 9RH,-0.0882561877080278,50.8698170928174
University of Brighton,Mithras House,Brighton,BN2 4AT,-0.120262955571559,50.8415876950303
Ravensbourne,6 Penrose Way,London,SE10 0EW,0.00569542953819685,51.5016670150723
University of the West of England,Coldharbour Lane,Bristol,BS16 1QY,-2.54784431748403,51.5000690429153
University of Bristol,Senate House,Bristol,BS8 1TH,-2.60218519981535,51.4590973179721
University of Cambridge,,Cambridge,CB2 1TN,0.11692072803383,52.2053333232416
University of Chester,Parkgate Road,Chester,CH1 4BJ,-2.89778318786626,53.1994188532155
Anglia Ruskin University,Rivermead Campus,Chelmsford,CM1 1SQ,0.473518277950368,51.7413194947479
Writtle University College,Lordship Road,Chelmsford,CM1 3RR,0.4280288,51.7368181
University of Essex,Wivenhoe Park,Colchester,CO4 3SQ,0.945343008021467,51.8739706075693
Canterbury Christ Church University,North Holmes Road,Canterbury,CT1 1QU,1.08936435796333,51.2796426703935
University of Kent,The Registry,Canterbury,CT2 7NZ,1.0699109911647,51.2977246849823
Coventry University,Priory Street,Coventry,CV1 5FB,-1.50509377435435,52.4083558709935
University of Warwick,University House,Coventry,CV4 8UW,-1.56478734597345,52.3855758654257
Rose Bruford College,Lamorbey Park,Sidcup,DA15 9DF,0.106445807300364,51.4392705306501
University of Derby,Kedleston Road,Derby,DE22 1GB,-1.49709220201511,52.9383244078435
University of Durham,University Office,Durham,DH1 3LE,-1.57168312859021,54.7686267378921
Queen Mary and Westfield College,Mile End Road,London,E1 4NS,-0.0404180977032517,51.524375015367
University of East London,4 - 6 Universtiy Way,London,E16 2RD,0.0642737506926483,51.5074900759325
"City, University of London",Northampton Square,London,EC1V 0HB,-0.10077265165395,51.5271954025927
London Metropolitan University,166 - 220 Holloway Road,London,N7 8DB,-0.111291648424914,51.5522681044325
University of Exeter,Northcote House,Exeter,EX4 4QJ,-3.53504760308732,50.7351556443082
University of Gloucestershire,The Park,Cheltenham,GL50 2RH,-2.08874068047418,51.8875700800719
Royal Agricultural University,,Cirencester,GL7 6JS,-1.99530012944379,51.710529705725
University of Surrey,Stag Hill,Guildford,GU2 7XH,-0.5870831,51.2426213
University for the Creative Arts,Falkner Road,Farnham,GU9 7DS,-0.805409464343913,51.2161874271966
University of Huddersfield,Lockside,Huddersfield,HD1 3DH,-1.77872479379538,53.6436631797302
Buckinghamshire New University,Queen Alexandra Road,High Wycombe,HP11 2JZ,-0.753225686727403,51.6279257273669
University of Hull,Cottingham Road,Kingston-upon-Hull,HU6 7RX,-0.36907290255516,53.771035938105
Kingston University,River House,Kingston upon Thames,KT1 1LQ,-0.3077945,51.40692505
Liverpool Hope University,Hope Park,Liverpool,L16 9JD,-2.89482944726974,53.3911772474366
Liverpool John Moores University,Egerton Court,Liverpool,L3 5UX,-2.97317556947286,53.4036853356824
Edge Hill University,St Helen's Road,Ormskirk,L39 4QP,-2.86951852017476,53.5582445249629
University of Liverpool,The Foundation Building,Liverpool,L69 7ZX,-2.96661974820094,53.4057790846335
University of Lancaster,University House,Lancaster,LA1 4YW,-2.78534520174033,54.0091889970163
University of Leicester,University Road,Leicester,LE1 7RH,-1.12551404300996,52.6218144829425
De Montfort University,The Gateway,Leicester,LE1 9BH,-1.13805717234782,52.6304141933265
Loughborough University,Ashby Road,Loughborough,LE11 3TU,-1.24821712764441,52.7584425452897
Bishop Grosseteste University,Newport,Lincoln,LN1 3DY,-0.535442988707024,53.2441102100845
University of Lincoln,Vice Chancellors Office,Lincoln,LN6 7TS,-0.548054690157185,53.228170627259
Leeds Beckett University,City Campus,Leeds,LS6 3QS,-1.59074978105514,53.826337502623
Leeds Trinity University,Brownberrie Lane,Leeds,LS18 5HD,-1.64571083378319,53.8485522502838
University of Leeds,The University,Leeds,LS2 9JT,-1.55434973482435,53.8065044718931
Northern School of Contemporary Dance,98 Chapeltown Road,Leeds,LS7 4BH,-1.53332439721739,53.8130467361963
University of Bedfordshire,Park Square,Luton,LU1 3JU,-0.410819648438788,51.8779492619724
University of Manchester,Oxford Road,Manchester,M13 9PL,-2.23473373998962,53.4659943267629
Royal Northern College of Music,124 Oxford Road,Manchester,M13 9RD,-2.23696299490311,53.468557205187
The Manchester Metropolitan University,All Saints Building,Manchester,M15 6BH,-2.23911536102384,53.4709168817542
University of Salford,The Old Fire Station,Salford,M5 4WT,-2.27065083064142,53.4834873402303
